PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;b;2013;REGIAO NORDESTE;RIO GRANDE DO NORTE;1649170,483;1494711,133;1644579,53;1581869,594;1592530,76;1561893,076;1598863,295;1617216,434;1572985,259;1627716,448;1561916,281;1612856,437;19116308,73
TERRA;b;2013;REGIAO NORDESTE;ALAGOAS;122481,5924;105618,3759;108074,4756;101752,9367;110656,2844;115546,3383;105717,4333;112606,4764;111358,0678;107425,5161;103119,0534;105866,8821;1310223,432
TERRA;b;2013;REGIAO NORDESTE;SERGIPE;925084,6103;866528,4424;948830,2095;903146,5903;901536,3784;881997,9124;871329,4288;875117,2482;864515,3494;881303,6674;835837,959;872127,9017;10627355,7
TERRA;b;2013;REGIAO NORDESTE;BAHIA;1295753,65;1221180,337;1368951,703;1329000,463;1350331,792;1306099,114;1337124,689;1351808,509;1326064,443;1274675,804;1279972,825;1335594,172;15776557,5
TERRA;b;2013;REGIAO SUDESTE;ESPIRITO SANTO;460211,6046;446206,5308;449005,1126;477264,1633;489406,8831;453247,7633;418724,6967;433581,2405;444971,972;446295,1726;431573,9187;399530,0841;5350019,142
TERRA;b;2014;REGIAO NORTE;AMAZONAS;920487,5908;806869,2177;869656,68;828265,0128;875694,2686;850180,7865;860973,786;859594,9967;823455,3209;848328,8777;828905,4413;849746,8525;10222158,83
TERRA;b;2014;REGIAO NORDESTE;MARANHAO;4470,985705;4038,309675;4470,985579;4326,760362;4470,985705;4326,760299;4470,985642;4470,985642;3028,732209;3458,640723;810,5049166;612,4796835;42957,11614
TERRA;b;2014;REGIAO NORDESTE;CEARA;34380,6927;31563,15344;33634,11741;32624,4205;29790,7982;31029,50709;31852,57905;34580,74011;41614,36417;47769,94334;47900,66446;49466,34912;446207,3296
TERRA;b;2014;REGIAO NORDESTE;RIO GRANDE DO NORTE;1554659,765;1434381,38;1580410,953;1537050,743;1572944,928;1511753,971;1572290,049;1539849,416;1492710,51;1540273,028;1483565,319;1527233,587;18347123,65
TERRA;b;2014;REGIAO NORDESTE;ALAGOAS;106813,9695;119679,3007;132497,4937;128987,1916;134483,8026;144328,678;141237,8544;136158,343;126509,4254;121670,4995;114206,9451;112471,5414;1519045,045
